Name,Cq
0,6.48
0,6.44
-1,9.83
-1,9.83
-2,13.35
-2,13.33
-3,16.81
-3,16.76
-4,20.47
-4,20.47
-5,24.01
-5,23.97
-6,27.35
-6,27.45
NTC,31.48
NTC,31.65
