Name,Cq
-3,17.09
-3,17.09
Cov 2,23.54
Cov 2,23.58
Cov 5,22.16
Cov 5,22.15
Cov 10,21.20
Cov 10,21.20
Cov 25,19.33
Cov 25,19.36
Cov 1000,13.70
Cov 1000,13.68
