Name,Cq
0,6.83
0,6.80
-1,10.33
-1,10.18
-2,13.87
-2,13.91
-3,17.44
-3,17.45
-4,20.93
-4,21.00
-5,24.30
-5,24.87
NTC,29.99
NTC,28.01
